"b","conv","Mavg","M2avg","T.J","chi"
0.833333333333333,100,9984,996840,1.2,0.00311999999999794
0.819672131147541,100,9972,994472,1.22,0.00525901639344388
0.806451612903226,100,9936,987352,1.24,0.00895483870967993
0.793650793650794,100,9966,993276,1.26,0.00511428571428722
0.78125,100,9962,992516,1.28,0.00793437499999605
0.769230769230769,100,9944,988976,1.3,0.0111261538461568
0.757575757575758,100,9940,988168,1.32,0.00999999999999823
0.746268656716418,100,9960,992112,1.34,0.00716417910448213
0.735294117647059,100,9932,986592,1.36,0.0107176470588274
0.72463768115942,100,9924,985016,1.38,0.011466666666663
0.714285714285714,100,9926,985388,1.4,0.00951714285714088
0.704225352112676,100,9930,986308,1.42,0.0182394366197133
0.694444444444444,100,9872,975016,1.44,0.0313999999999975
0.684931506849315,100,9908,981912,1.46,0.0155726027397224
0.675675675675676,100,9870,974500,1.48,0.022364864864868
0.666666666666667,100,9856,971648,1.5,0.0160426666666638
0.657894736842105,100,9868,974048,1.52,0.0180105263157827
0.649350649350649,100,9844,969392,1.54,0.0226389610389603
0.641025641025641,100,9858,972180,1.56,0.0242538461538453
0.632911392405063,100,9810,962876,1.58,0.0325949367088635
0.625,100,9826,966004,1.6,0.031327499999998
0.617283950617284,100,9754,952148,1.62,0.0458543209876491
0.609756097560976,100,9784,957864,1.64,0.0364292682926798
0.602409638554217,100,9682,938660,1.66,0.0752265060240967
0.595238095238095,100,9762,953564,1.68,0.0355690476190435
0.588235294117647,100,9762,953788,1.7,0.048327058823528
0.581395348837209,100,9592,921056,1.72,0.0576372093023264
0.574712643678161,100,9600,923304,1.74,0.0979310344827591
0.568181818181818,100,9582,919796,1.76,0.0936795454545493
0.561797752808989,100,9586,920836,1.78,0.107979775280901
0.555555555555556,100,9576,918664,1.8,0.0925688888888882
0.549450549450549,100,9488,901608,1.82,0.076184615384614
0.543478260869565,100,9570,917268,1.84,0.0771195652173873
0.537634408602151,100,9414,888660,1.86,0.130432258064516
0.531914893617021,100,9622,927764,1.88,0.102934042553185
0.526315789473684,100,9672,936728,1.9,0.065903157894734
0.520833333333333,100,9472,899104,1.92,0.099799999999998
0.515463917525773,100,9502,904076,1.94,0.0616474226804131
0.510204081632653,100,9098,832268,1.96,0.231222448979587
0.505050505050505,100,8990,814908,1.98,0.338737373737372
0.5,100,9126,837916,2,0.253861999999998
0.495049504950495,100,7998,657372,2.02,0.875839603960397
0.490196078431373,100,-9080,829368,2.04,0.240392156862749
0.485436893203884,100,-8290,706324,2.06,0.926359223300969
0.480769230769231,100,-8806,781676,2.08,0.29902115384615
0.476190476190476,100,-8580,745848,2.1,0.461142857142858
0.471698113207547,100,-8410,721820,2.12,0.685801886792455
0.467289719626168,100,-7432,610976,2.14,2.73970841121495
0.462962962962963,100,-7822,645044,2.16,1.53736851851852
0.458715596330275,100,8590,748548,2.18,0.489311926605503
0.454545454545455,100,-2444,478368,2.2,19.0289381818182
0.450450450450451,100,6922,547332,2.22,3.07167387387387
0.446428571428571,100,6824,527672,2.24,2.76795714285715
0.442477876106195,100,-6624,485480,2.26,2.06664778761062
0.43859649122807,100,-7686,607932,2.28,0.753773684210526
0.434782608695652,100,-4786,390092,2.3,7.00148
0.431034482758621,100,-5648,366856,2.32,2.0628
0.427350427350427,100,8172,680456,2.34,0.540177777777777
0.423728813559322,100,-5862,483188,2.36,5.91345593220339
0.420168067226891,100,-4910,279108,2.38,1.5977731092437
0.416666666666667,100,-7780,618024,2.4,0.530833333333334
0.413223140495868,100,-6596,474264,2.42,1.61949752066116
0.409836065573771,100,7618,591268,2.44,0.447900000000002
0.40650406504065,100,4368,330632,2.46,5.68446178861789
0.403225806451613,100,-4888,442400,2.48,8.20461935483871
0.4,100,6684,473384,2.5,1.0650176
0.396825396825397,100,-3074,139316,2.52,1.77862063492063
0.393700787401575,100,-2998,172708,2.54,3.26094330708661
0.390625,100,5510,332740,2.56,1.1382421875
0.387596899224806,100,-406,150700,2.58,5.77719534883721
0.384615384615385,100,972,133000,2.6,4.75200615384615
0.381679389312977,100,-900,92496,2.62,3.2212213740458
0.378787878787879,100,-538,97396,2.64,3.57960454545455
0.37593984962406,100,3246,215668,2.66,4.14672330827068
0.373134328358209,100,5066,321980,2.68,2.43792686567164
0.37037037037037,100,5466,337084,2.7,1.41897925925926
0.367647058823529,100,-4482,291212,2.72,3.32091029411765
0.364963503649635,100,-2512,130088,2.74,2.44476496350365
0.36231884057971,100,-3586,242940,2.76,4.14297246376812
0.359712230215827,100,4176,225128,2.78,1.82511654676259
0.357142857142857,100,-5176,298024,2.8,1.07550857142857
0.354609929078014,100,3552,155920,2.82,1.0550695035461
0.352112676056338,100,762,190692,2.84,6.51005492957747
0.34965034965035,100,-4312,274384,2.86,3.09267692307692
0.347222222222222,100,-620,68864,2.88,2.25763888888889
0.344827586206897,100,-480,62576,2.9,2.07834482758621
0.342465753424658,100,-1580,163816,2.92,4.75520547945205
0.340136054421769,100,-926,124612,2.94,3.94684489795918
0.337837837837838,100,-692,71056,2.96,2.23876216216216
0.335570469798658,100,-3000,205744,2.98,3.88402684563758
0.333333333333333,100,2452,114736,3,1.820432
0.33112582781457,100,1782,191372,3.02,5.28532317880795
0.328947368421053,100,1226,55132,3.04,1.31911973684211
0.326797385620915,100,-1544,70880,3.06,1.53727581699346
0.324675324675325,100,-1948,100776,3.08,2.0399012987013
0.32258064516129,100,2156,122456,3.1,2.45073032258064
0.32051282051282,100,1068,130736,3.12,3.82467179487179
0.318471337579618,100,60,37896,3.14,1.20573248407643
0.316455696202532,100,-1032,69744,3.16,1.87005569620253
0.314465408805031,100,318,85276,3.18,2.64983522012579
0.3125,100,-134,114172,3.2,3.56226375
0.31055900621118,100,-2184,175768,3.22,3.97731180124224
0.308641975308642,100,980,96792,3.24,2.69098765432099
0.306748466257669,100,-1480,163224,3.26,4.33496932515337
0.304878048780488,100,-2022,86964,3.28,1.40485243902439
0.303030303030303,100,-1778,58316,3.3,0.809186666666667
0.301204819277108,100,-152,88032,3.32,2.64460722891566
0.29940119760479,100,1010,72796,3.34,1.87410179640719
0.297619047619048,100,-506,70692,3.36,2.02772738095238
0.29585798816568,100,96,50000,3.38,1.47656331360947
0.294117647058823,100,152,74736,3.4,2.19132235294118
0.292397660818713,100,-72,47864,3.42,1.39801637426901
0.290697674418605,100,1278,66660,3.44,1.4629988372093
0.289017341040462,100,1010,56972,3.46,1.35176300578035
0.28735632183908,100,-376,46432,3.48,1.2936275862069
0.285714285714286,100,1104,103424,3.5,2.60673828571429
0.284090909090909,100,-750,42932,3.52,1.05985795454545
0.282485875706215,100,1202,53516,3.54,1.10361468926554
0.280898876404494,100,820,85640,3.56,2.21674157303371
0.279329608938547,100,1020,35576,3.58,0.703128491620112
0.277777777777778,100,1756,80792,3.6,1.38768444444444
0.276243093922652,100,-44,40648,3.62,1.12233812154696
0.274725274725275,100,-1066,64796,3.64,1.46792417582418
0.273224043715847,100,696,73000,3.66,1.86218142076503
0.271739130434783,100,1108,48320,3.68,0.979439130434783
0.27027027027027,100,-348,49496,3.7,1.30499891891892
0.268817204301075,100,-24,38256,3.72,1.02823225806452
0.267379679144385,100,-220,34688,3.74,0.914545454545454
0.265957446808511,100,488,52088,3.76,1.3219829787234
0.264550264550265,100,-132,36992,3.78,0.974014814814815
0.263157894736842,100,-906,34684,3.8,0.696727368421053
