"beta","T.J","J","N","conv","M","M2","chi"
2,0.5,1,10,600,100,100,-990
1.81818181818182,0.55,1,10,600,100,100,-990
1.66666666666667,0.6,1,10,600,100,100,-990
1.53846153846154,0.65,1,10,600,100,100,-990
1.42857142857143,0.7,1,10,600,100,100,-990
1.33333333333333,0.75,1,10,600,100,100,-990
1.25,0.8,1,10,600,100,100,-990
1.17647058823529,0.85,1,10,600,100,100,-990
1.11111111111111,0.9,1,10,600,100,100,-990
1.05263157894737,0.95,1,10,600,100,100,-990
1,1,1,10,600,100,100,-990
0.952380952380952,1.05,1,10,600,100,100,-990
0.909090909090909,1.1,1,10,600,100,100,-990
0.869565217391304,1.15,1,10,600,100,100,-990
0.833333333333333,1.2,1,10,600,100,100,-990
0.8,1.25,1,10,600,100,100,-990
0.769230769230769,1.3,1,10,600,98,100,-950.4
0.740740740740741,1.35,1,10,600,100,100,-990
0.714285714285714,1.4,1,10,600,98,100,-950.4
0.689655172413793,1.45,1,10,600,100,100,-990
0.666666666666667,1.5,1,10,600,100,100,-990
0.645161290322581,1.55,1,10,600,100,100,-990
0.625,1.6,1,10,600,96,100,-911.6
0.606060606060606,1.65,1,10,600,98,100,-950.4
0.588235294117647,1.7,1,10,600,94,100,-873.6
0.571428571428571,1.75,1,10,600,98,100,-950.4
0.555555555555556,1.8,1,10,600,100,100,-990
0.54054054054054,1.85,1,10,600,100,100,-990
0.526315789473684,1.9,1,10,600,100,100,-990
0.512820512820513,1.95,1,10,600,98,100,-950.4
0.5,2,1,10,600,94,100,-873.6
0.487804878048781,2.05,1,10,600,98,100,-950.4
0.476190476190476,2.1,1,10,600,80,100,-630
0.465116279069767,2.15,1,10,600,96,100,-911.6
0.454545454545455,2.2,1,10,600,-100,100,-990
0.444444444444444,2.25,1,10,600,-92,100,-836.4
0.434782608695652,2.3,1,10,600,84,100,-695.6
0.425531914893617,2.35,1,10,600,90,100,-800
0.416666666666667,2.4,1,10,600,-88,100,-764.4
0.408163265306122,2.45,1,10,600,-34,100,-105.6
0.4,2.5,1,10,600,78,100,-598.4
0.392156862745098,2.55,1,10,600,48,100,-220.4
0.384615384615385,2.6,1,10,600,32,100,-92.4
0.377358490566038,2.65,1,10,600,10,100,0
0.37037037037037,2.7,1,10,600,2,100,9.6
0.363636363636364,2.75,1,10,600,-22,100,-38.4
0.357142857142857,2.8,1,10,600,-46,100,-201.6
0.350877192982456,2.85,1,10,600,56,100,-303.6
0.344827586206897,2.9,1,10,600,2,100,9.6
0.338983050847458,2.95,1,10,600,-10,100,0
0.333333333333333,3,1,10,600,-34,100,-105.6
0.327868852459016,3.05,1,10,600,-6,100,6.4
0.32258064516129,3.1,1,10,600,-8,100,3.6
0.317460317460317,3.15,1,10,600,64,100,-399.6
0.3125,3.2,1,10,600,18,100,-22.4
0.307692307692308,3.25,1,10,600,12,100,-4.4
0.303030303030303,3.3,1,10,600,-36,100,-119.6
0.298507462686567,3.35,1,10,600,4,100,8.4
0.294117647058823,3.4,1,10,600,-12,100,-4.4
0.289855072463768,3.45,1,10,600,-2,100,9.6
0.285714285714286,3.5,1,10,600,-20,100,-30
0.28169014084507,3.55,1,10,600,50,100,-240
0.277777777777778,3.6,1,10,600,20,100,-30
0.273972602739726,3.65,1,10,600,38,100,-134.4
0.27027027027027,3.7,1,10,600,-10,100,0
0.266666666666667,3.75,1,10,600,-22,100,-38.4
0.263157894736842,3.8,1,10,600,18,100,-22.4
0.25974025974026,3.85,1,10,600,-6,100,6.4
0.256410256410256,3.9,1,10,600,-2,100,9.6
0.253164556962025,3.95,1,10,600,30,100,-80
0.25,4,1,10,600,-20,100,-30
