"beta","M"
2,1
1.81818181818182,1
1.66666666666667,1
1.53846153846154,1
1.42857142857143,1
1.33333333333333,1
1.25,1
1.17647058823529,0.9992
1.11111111111111,1
1.05263157894737,0.9992
1,0.9992
0.952380952380952,1
0.909090909090909,1
0.869565217391304,0.9984
0.833333333333333,0.9968
0.8,0.9952
0.769230769230769,0.9944
0.740740740740741,0.9936
0.714285714285714,0.9888
0.689655172413793,0.9856
0.666666666666667,0.9864
0.645161290322581,0.9824
0.625,0.9848
0.606060606060606,0.9744
0.588235294117647,0.9824
0.571428571428571,0.9624
0.555555555555556,0.9504
0.54054054054054,0.964
0.526315789473684,0.928
0.512820512820513,0.9344
0.5,0.8984
0.487804878048781,0.9224
0.476190476190476,0.8776
0.465116279069767,0.7456
0.454545454545455,0.864
0.444444444444444,0.4696
0.434782608695652,0.3312
0.425531914893617,0.2624
0.416666666666667,0.3936
0.408163265306122,-0.1128
0.4,-0.0504
0.392156862745098,-0.1032
0.384615384615385,-0.104
0.377358490566038,0.1456
0.37037037037037,-0.0584
0.363636363636364,0.1264
0.357142857142857,0.0184
0.350877192982456,-0.1536
0.344827586206897,-0.028
0.338983050847458,-0.0504
0.333333333333333,-8e-04
0.327868852459016,0.0168
0.32258064516129,-0.0704
0.317460317460317,-0.0584
0.3125,-0.0432
0.307692307692308,-0.076
0.303030303030303,-0.0192
0.298507462686567,0.0328
0.294117647058823,-0.0608
0.289855072463768,0.0616
0.285714285714286,-0.012
0.28169014084507,-0.0608
0.277777777777778,0.008
0.273972602739726,-0.0368
0.27027027027027,0.012
0.266666666666667,-0.004
0.263157894736842,-0.0568
0.25974025974026,0.0328
0.256410256410256,0.0064
0.253164556962025,-0.0968
0.25,-0.0144
