"b","conv","Mavg","M2avg","T.J","chi"
1,1000,53062,2827780,1,0.190689937500004
0.952380952380952,1000,-53228,2845512,1.05,0.18291690476191
0.909090909090909,1000,52984,2820080,1.1,0.181473636363637
0.869565217391304,1000,52444,2766320,1.15,0.216669347826087
0.833333333333333,1000,-52382,2760604,1.2,0.217839531249998
0.8,1000,-52382,2758612,1.25,0.184225950000001
0.769230769230769,1000,-51690,2691732,1.3,0.238893028846154
0.740740740740741,1000,51506,2673388,1.35,0.237499583333334
0.714285714285714,1000,-51066,2633852,1.4,0.291469241071428
0.689655172413793,1000,-50086,2537412,1.45,0.310394439655172
0.666666666666667,1000,48824,2436392,1.5,0.548010666666665
0.645161290322581,1000,48952,2435488,1.55,0.395057419354838
0.625,1000,-48320,2375912,1.6,0.401265624999998
0.606060606060606,1000,47234,2299692,1.65,0.65001178030303
0.588235294117647,1000,39822,1807780,1.7,2.0403337867647
0.571428571428571,1000,-1032,1928832,1.75,17.2122051428571
0.555555555555556,1000,39206,1724100,1.8,1.62317329861111
0.54054054054054,1000,-13928,1559352,1.85,11.5317805405405
0.526315789473684,1000,21180,1423704,1.9,8.01900986842105
0.512820512820513,1000,-25800,1248688,1.95,4.67185897435898
0.5,1000,-16250,1215868,2,7.43598046875
0.487804878048781,1000,-18160,1004392,2.05,5.14181707317073
0.476190476190476,1000,-4026,1061820,2.1,7.77984616071429
0.465116279069767,1000,-2398,902700,2.15,6.51852904069767
0.454545454545455,1000,3268,728552,2.2,5.09852397727273
0.444444444444444,1000,5984,780168,2.25,5.16916488888889
0.434782608695652,1000,3706,594484,2.3,3.94530953804348
0.425531914893617,1000,2588,562576,2.35,3.69599904255319
0.416666666666667,1000,2014,683028,2.4,4.42038934895833
0.408163265306122,1000,-354,528956,2.45,3.37264466836735
0.4,1000,-4854,458972,2.5,2.721316775
0.392156862745098,1000,2180,465784,2.55,2.82494852941176
0.384615384615385,1000,6230,466324,2.6,2.56917728365385
0.377358490566038,1000,1244,457992,2.65,2.69129990566038
0.37037037037037,1000,-720,366264,2.7,2.11658333333333
0.363636363636364,1000,686,397628,2.75,2.25657615909091
0.357142857142857,1000,3706,339524,2.8,1.81802212053571
0.350877192982456,1000,-2952,338976,2.85,1.81064526315789
0.344827586206897,1000,-1662,288796,2.9,1.54113015086207
0.338983050847458,1000,-2694,313060,2.95,1.61971591101695
0.333333333333333,1000,5388,272352,3,1.26729925
