"b","conv","Mavg","M2avg","T.J","chi"
1,1500,2370366,3745967452,1,0.0878344566665419
0.980392156862745,1500,-2363864,3725488456,1.02,0.103396923747163
0.961538461538461,1500,-2355040,3697937432,1.04,0.185028418803549
0.943396226415094,1500,-2348948,3678881240,1.06,0.200511870020861
0.925925925925926,1500,2341234,3654870020,1.08,0.238782727366369
0.909090909090909,1500,2337290,3642681228,1.1,0.277095429292909
0.892857142857143,1500,-2322396,3596565304,1.12,0.328565273809594
0.87719298245614,1500,2302064,3535250040,1.14,0.822709528265158
0.862068965517241,1500,-2285484,3484076984,1.16,0.641370149425264
0.847457627118644,1500,-2275228,3454363320,1.18,1.14937100188322
0.833333333333333,1500,2245758,3365290420,1.2,1.04320264722238
0.819672131147541,1500,2202368,3240222808,1.22,2.25623965755918
0.806451612903226,1500,-2203400,3241195328,1.24,1.52809856630824
0.793650793650794,1500,2173690,3154781628,1.26,1.59705156525556
0.78125,1500,-2108518,2972736356,1.28,2.87681807204869
0.769230769230769,1500,2060732,2848734400,1.3,5.65923593504259
0.757575757575758,1500,-1978050,2626553916,1.32,5.71318844696975
0.746268656716418,1500,-1803312,2193882520,1.34,8.06169375124378
0.735294117647059,1500,1849618,2303306708,1.36,6.91856945996735
0.72463768115942,1500,-1798676,2188798400,1.38,9.6542365185185
0.714285714285714,1500,-320650,348750164,1.4,83.3946078373016
0.704225352112676,1500,1309118,1311533500,1.42,49.5912191071988
0.694444444444444,1500,938944,705153256,1.44,33.9726174506173
0.684931506849315,1500,549612,430431536,1.46,65.3679515707763
0.675675675675676,1500,457796,203326080,1.48,17.9076468438438
0.666666666666667,1500,-197014,155601164,1.5,36.0346721859259
0.657894736842105,1500,17798,182194380,1.52,49.8857458326023
0.649350649350649,1500,33766,205800876,1.54,55.4764017395382
0.641025641025641,1500,-107832,97617216,1.56,24.0025077948718
0.632911392405063,1500,-80290,86203804,1.58,21.5997225562588
0.625,1500,-91736,96152368,1.6,23.5786559555556
0.617283950617284,1500,9908,60234632,1.62,15.4756137750343
0.609756097560976,1500,152410,94671188,1.64,20.1182205115176
0.602409638554217,1500,37234,78461236,1.66,19.4620955896921
0.595238095238095,1500,2406,104189460,1.68,25.8396827321429
0.588235294117647,1500,-77996,79786680,1.7,18.5615431346405
0.581395348837209,1500,8500,49671152,1.72,12.0210720284238
0.574712643678161,1500,41562,61042204,1.74,14.341619756705
0.568181818181818,1500,12784,45457336,1.76,10.7358859444444
0.561797752808989,1500,15260,34562976,1.78,8.05424413233458
0.555555555555556,1500,67846,49348596,1.8,10.7129343030864
0.549450549450549,1500,41316,40614104,1.82,9.03756778754579
0.543478260869565,1500,368,42654392,1.84,9.65903571497585
0.537634408602151,1500,26142,28748348,1.86,6.3379805609319
0.531914893617021,1500,-27186,29369180,1.88,6.39992485283688
0.526315789473684,1500,34458,20462820,1.9,4.31387079473684
0.520833333333333,1500,-49004,28624528,1.92,5.86449652546296
0.515463917525773,1500,-33878,25318340,1.94,5.27345233619702
0.510204081632653,1500,15304,20027560,1.96,4.22436615419501
0.505050505050505,1500,-34468,26025016,1.98,5.30997207856341
0.5,1500,27846,24389692,2,4.97349142833333
