"N","J","conv.eq","conv","reInit","date","start.time","end.time","diff.s","type","step","TempStart"
10,1,1000,100,FALSE,"2019-12-03",1575415232.64354,1575415277.78618,45.1426410675049,"2D",NA,NA
25,1,800,200,FALSE,NA,1575415356.86112,1575415613.93237,257.071253061295,"2D",NA,NA
25,1,1200,400,FALSE,"18233",1575415953.15419,1575416367.1644,414.010202884674,"2D",NA,NA
25,1,1500,1000,FALSE,"18233",1575416951.89467,1575417265.21675,313.322087049484,"2D",NA,NA
50,1,1000,500,FALSE,"18233",1575417416.18441,1575418145.50075,729.316338062286,"2D",NA,NA
50,1,1000,501,TRUE,"18233",1575418336.46448,1575419055.59681,719.132329940796,"2D",NA,NA
50,1,1500,800,TRUE,"18233",1575419842.9852,1575421973.38994,2130.40473604202,"2D",NA,NA
50,1,1500,1200,FALSE,"18233",1575422142.28573,1575424678.28161,2535.99587202072,"2D",NA,NA
100,1,100,100,FALSE,"18233",1575430020.01254,1575430791.18756,771.17502784729,"2D",NA,NA
60,1,500,300,FALSE,"18233",1575433920.076,1575435025.31836,1105.24236178398,"2D",NA,NA
25,1,1500,1001,FALSE,"18234",1575489175.90297,1575489527.76764,351.864670038223,"2D",NA,NA
25,1,2500,1500,FALSE,"18234",1575489639.42621,1575490206.40949,566.983278036118,"2D",NA,NA
25,1,4000,2000,TRUE,"18234",1575491140.47522,1575491946.87982,806.404596805573,"2D",NA,NA
80,1,1000,1000,FALSE,"18234",1575516150.48103,1575521043.63838,4893.15735006332,"2D",NA,NA
20,1,200,200,FALSE,"18237",1575767477.51573,1575767499.46181,21.946084022522,"2D",0.1,1
10,1,400,400,FALSE,"18237",1575767626.69581,1575767658.06788,31.3720691204071,"2D",0.1,0.5
8,1,2000,5000,FALSE,"18237",1575767719.53776,1575768111.65681,392.119050979614,"2D",0.01,1.2
40,1,500,500,FALSE,"18237",1575768396.57681,1575768557.15801,160.581196069717,"1D",0.1,0.5
20,1,1000,1000,FALSE,"18241",1576078701.86167,1576079284.53992,582.6782579422,"2D Tri",0.01,1.2
40,1,1500,1500,TRUE,"18241",1576079831.0805,1576080527.59869,696.518187999725,"2D Tri",0.02,1
50,1,3000,1000,TRUE,"18241",1576080712.59758,1576081948.13993,1235.54234790802,"2D Tri",0.02,0.9
